Country,Year,Cost_NOx [Euro per tonne],Cost_PM2.5 [Euro per tonne],Cost_PM10 [Euro per tonne],Cost_SOx [Euro per tonne],Cost_NMVOC [Euro per tonne],Cost_NH3 [Euro per tonne],Cost_Pb [Euro per kg],Cost_Cd [Euro per kg],Cost_Hg [Euro per kg],Cost_As [Euro per kg],Cost_Ni [Euro per kg],Cost_Cr [Euro per kg]
Belgium,1990,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1990,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1990,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1990,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1990,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1990,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1990,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1990,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1990,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1990,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1990,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1990,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1990,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1990,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1990,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1990,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1990,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1990,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1990,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1990,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1990,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1990,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1990,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1990,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1990,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1990,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1990,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1990,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1990,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1990,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1991,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1991,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1991,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1991,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1991,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1991,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1991,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1991,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1991,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1991,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1991,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1991,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1991,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1991,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1991,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1991,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1991,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1991,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1991,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1991,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1991,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1991,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1991,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1991,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1991,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1991,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1991,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1991,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1991,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1991,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1992,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1992,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1992,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1992,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1992,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1992,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1992,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1992,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1992,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1992,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1992,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1992,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1992,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1992,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1992,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1992,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1992,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1992,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1992,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1992,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1992,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1992,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1992,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1992,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1992,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1992,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1992,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1992,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1992,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1992,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1993,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1993,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1993,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1993,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1993,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1993,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1993,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1993,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1993,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1993,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1993,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1993,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1993,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1993,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1993,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1993,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1993,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1993,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1993,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1993,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1993,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1993,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1993,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1993,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1993,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1993,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1993,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1993,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1993,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1993,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1994,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1994,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1994,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1994,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1994,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1994,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1994,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1994,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1994,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1994,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1994,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1994,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1994,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1994,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1994,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1994,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1994,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1994,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1994,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1994,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1994,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1994,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1994,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1994,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1994,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1994,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1994,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1994,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1994,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1994,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1995,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1995,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1995,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1995,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1995,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1995,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1995,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1995,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1995,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1995,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1995,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1995,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1995,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1995,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1995,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1995,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1995,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1995,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1995,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1995,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1995,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1995,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1995,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1995,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1995,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1995,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1995,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1995,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1995,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1995,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1996,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1996,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1996,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1996,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1996,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1996,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1996,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1996,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1996,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1996,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1996,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1996,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1996,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1996,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1996,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1996,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1996,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1996,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1996,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1996,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1996,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1996,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1996,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1996,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1996,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1996,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1996,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1996,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1996,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1996,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1997,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1997,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1997,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1997,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1997,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1997,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1997,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1997,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1997,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1997,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1997,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1997,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1997,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1997,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1997,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1997,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1997,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1997,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1997,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1997,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1997,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1997,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1997,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1997,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1997,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1997,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1997,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1997,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1997,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1997,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1998,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1998,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1998,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1998,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1998,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1998,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1998,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1998,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1998,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1998,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1998,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1998,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1998,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1998,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1998,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1998,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1998,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1998,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1998,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1998,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1998,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1998,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1998,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1998,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1998,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1998,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1998,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
Norway,1998,16865.6471,56741,36845,15510.5294,1117,9684,32531,185175,16903,11044,24,3129
Switzerland,1998,143134.258,306655,199126,232060.876,12280.6809,65004,32531,185175,16903,11044,24,3129
United Kingdom,1998,55633,268250,174188,117414,4722,102606,32531,185175,16903,11044,24,3129
Belgium,1999,67427,512037,332491,159275,7953,162801,32531,185175,16903,11044,24,3129
Bulgaria,1999,39770,309647,201070,46368,2791,58106,32531,185175,16903,11044,24,3129
Czechia,1999,49118,282451,183409,71277,8138,131699,32531,185175,16903,11044,24,3129
Denmark,1999,25320,124113,80593,54274,1483,25524,32531,185175,16903,11044,24,3129
Germany,1999,74688,266647,173147,116457,5720,90548,32531,185175,16903,11044,24,3129
Estonia,1999,7116,26735,17360,6789,508,15020,32531,185175,16903,11044,24,3129
Ireland,1999,29855,50219,32609,77934,1779,15632,32531,185175,16903,11044,24,3129
Greece,1999,26670,145705,94614,36550,3480,41129,32531,185175,16903,11044,24,3129
Spain,1999,42135,201671,130955,71915,3611,22806,32531,185175,16903,11044,24,3129
France,1999,63655,208191,135189,111252,6209,42588,32531,185175,16903,11044,24,3129
Croatia,1999,59833,192306,124874,79013,5231,59914,32531,185175,16903,11044,24,3129
Italy,1999,108205,592650,384838,93754,15642,93026,32531,185175,16903,11044,24,3129
Cyprus,1999,15126,48390,31422,18211,889,14690,32531,185175,16903,11044,24,3129
Latvia,1999,19176,98627,64043,28699,665,17100,32531,185175,16903,11044,24,3129
Lithuania,1999,18399,62144,40353,25598,647,20560,32531,185175,16903,11044,24,3129
Luxembourg,1999,71957,247472,160696,150219,4640,82776,32531,185175,16903,11044,24,3129
Hungary,1999,68921,261548,169836,77634,4795,74316,32531,185175,16903,11044,24,3129
Malta,1999,7158,150194,97529,17076,2486,87032,32531,185175,16903,11044,24,3129
Netherlands,1999,79400,294599,191298,135753,6051,112156,32531,185175,16903,11044,24,3129
Austria,1999,75781,227195,147529,113124,8226,75613,32531,185175,16903,11044,24,3129
Poland,1999,27011,129265,83938,42598,3070,70606,32531,185175,16903,11044,24,3129
Portugal,1999,31431,234012,151956,35284,2221,25361,32531,185175,16903,11044,24,3129
Romania,1999,52412,217324,141119,61831,3748,48662,32531,185175,16903,11044,24,3129
Slovenia,1999,84406,373078,242259,93509,10127,80401,32531,185175,16903,11044,24,3129
Slovakia,1999,50306,233434,151580,60571,5753,104309,32531,185175,16903,11044,24,3129
Finland,1999,14520,65365,42445,17104,634,13649,32531,185175,16903,11044,24,3129
Sweden,1999,18625,53538,34765,20187,932,17421,32531,185175,16903,11044,24,3129
